Date,Session Type,Match Opponent,Player Name,Result,Position Category,GP,GS,GA,SV,SV%,W,L,T,SHO,Player Participation Time (min),Total Touches (#),Touches per min (#/min),Releases (#),Releases per min (#/min),RV Zone 1 [0-10( m/s)],RV Zone 2 [10-15( m/s)],RV Zone 3 [> 15( m/s)],Total Possessions (#),One-Touch (#),Short Possessions (#),Avg Time on Ball - Short (sec),Long possessions (#),Avg Time on Ball - Long (sec),Total Time on Ball (sec),Top Speed (m/s),Distance Covered (m),Work Rate (m/min),HID Covered (m) Zone 1 [> 4(m/s)],HID per min (m/min),SD Covered (m) [> 5.5(m/s)],SD per min (m/min),Sprint Count (#),Speed Zone 1 - DC (m),Speed Zone 2 - DC (m),Speed Zone 3 - DC (m),Speed Zone 4 - DC (m),Speed Zone 5 - DC (m),Speed Zone 6 - DC (m),Speed Zone 7 - DC (m),Speed Change Actions (#) [> 2.6(m/s^2)],Speed Change Actions per min (#/min),Horizontal Acc Zone 1 (#),Horizontal Acc Zone 2 (#),Horizontal Acc Zone 3 (#),Horizontal Acc Zone 4 (#),Horizontal Acc Zone 5 (#),Horizontal Acc Zone 6 (#),Horizontal Decl Zone 1 (#),Horizontal Decl Zone 2 (#),Horizontal Decl Zone 3 (#),Horizontal Decl Zone 4 (#),Horizontal Decl Zone 5 (#),Horizontal Decl Zone 6 (#),Horizontal Acc Zone 1 - DC (m),Horizontal Acc Zone 2 - DC (m),Horizontal Acc Zone 3 - DC (m),Horizontal Acc Zone 4 - DC (m),Horizontal Acc Zone 5 - DC (m),Horizontal Acc Zone 6 - DC (m),Horizontal Decl Zone 1 - DC (m) ,Horizontal Decl Zone 2 - DC (m),Horizontal Decl Zone 3 - DC (m),Horizontal Decl Zone 4 - DC (m),Horizontal Decl Zone 5 - DC (m),Horizontal Decl Zone 6 - DC (m),Receives (#),Release Velocity Min (m/s),Release Velocity Max (m/s),Release Velocity Avg (m/s)
11/2/2020,Match,Ave Maria Reserves,Keris Abbott (16),,Goalkeepers,,,,,,,,,,55,21,0.38,4,0.07,0,4,0,4,2,2,1.23,0,0,2,4.7,2339,42.24,8,0.15,0,0,0,1764,223,264,80,8,0,0,3,0.1,858,169,37,8,2,3,998,54,13,12,6,2,921,163,50,9,4,1,1087,58,23,16,5,2,2,,12.8,12.2
11/5/2020,Match,Webber First Team,Keris Abbott (16),3,Goalkeepers,1,0,0,0,0,1,0,0,1,105,44,0.42,2,0.02,0,2,0,3,2,0,0,1,1.61,2,5.59,3767,35.83,16,0.15,2,0.02,1,2973,325,337,116,14,2,0,4,0,1614,333,61,16,6,4,1929,140,22,15,3,3,1444,275,77,21,7,4,1743,133,37,16,5,5,1,,13,11.8
10/7/2020,Match,FNU Reserves,Keris Abbott (16),,Goalkeepers,,,,,,,,,,49,13,0.26,1,0.02,0,1,0,1,1,0,0,0,0,0,5.19,1916,38.47,5,0.11,0,0,0,1396,180,279,56,5,0,0,0,0,780,140,30,3,6,0,920,57,12,7,3,0,722,132,35,6,8,0,924,57,21,8,2,0,0,,13.8,13.8
10/26/2020,Match,Ave Maria Reserves,Keris Abbott (16),,Goalkeepers,,,,,,,,,,104,28,0.27,1,0.01,0,1,0,1,1,0,0,0,0,0,6.3,2290,22.01,138,1.32,42,0.41,5,1687,158,196,111,96,42,0,2,0,2063,172,25,12,5,2,2210,70,13,8,4,1,844,169,51,16,6,4,1075,81,25,13,5,2,0,,12,12
9/24/2020,Match,Florida College First Team,Keris Abbott (16),3,Goalkeepers,1,0,2,1,0.333,0,0,0,0,89,41,0.46,0,0,0,0,0,2,0,0,0,2,4.66,9,7.36,3308,36.81,62,0.69,34,0.38,2,2266,372,488,121,28,33,1,7,0.1,1547,309,69,24,11,7,1696,212,42,15,4,6,1218,244,81,25,11,11,1477,157,48,21,6,9,2,,,
10/3/2020,Match,Warner (Fla.),Keris Abbott (16),3,Goalkeepers,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2021,Match,The Master's (Calif.),Keris Abbott (16),0,Goalkeepers,1,0,1,8,0.889,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/2021,Match,Florida National,Keris Abbott (16),3,Goalkeepers,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/2021,Match,Edward Waters (Fla.),Keris Abbott (16),3,Goalkeepers,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2020,Match,Keiser University,Melanie Lefebvre,0,Goalkeepers,1,0,5,8,0.615,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/2020,Match,Florida College,Melanie Lefebvre,3,Goalkeepers,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/26/2020,Match,Ave Maria (Fla.),Melanie Lefebvre,3,Goalkeepers,1,1,0,9,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2020,Match,Florida Memorial,Melanie Lefebvre,3,Goalkeepers,1,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2020,Match,Warner (Fla.),Melanie Lefebvre,3,Goalkeepers,1,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2020,Match,Southeastern (Fla.),Melanie Lefebvre,0,Goalkeepers,1,1,5,5,0.5,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2020,Match,USC Beaufort (S.C.),Melanie Lefebvre,0,Goalkeepers,1,1,1,4,0.8,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/2020,Match,Ave Maria (Fla.),Melanie Lefebvre,0,Goalkeepers,1,0,3,6,0.667,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2020,Match,Keiser University,Melanie Lefebvre,0,Goalkeepers,1,1,2,5,0.714,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2020,Match,USC Beaufort (S.C.),Melanie Lefebvre,0,Goalkeepers,1,1,3,2,0.4,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2021,Match,The Master's (Calif.),Melanie Lefebvre,0,Goalkeepers,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2021,Match,William Carey (Miss.),Melanie Lefebvre,0,Goalkeepers,1,0,4,2,0.333,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/2021,Match,Edward Waters (Fla.),Melanie Lefebvre,3,Goalkeepers,1,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,150,32,0.21,15,0.1,,,,,,,,,,,6.17,2547,16.95,524,3.49,35,0.23,2,1151,122,353,397,489,35,0,4,0,3394,120,10,15,7,4,3532,39,15,7,6,4,981,122,44,31,14,8,1216,59,29,25,14,5,,,15.2,
9/3/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,92,34,0.37,16,0.17,4,11,1,16,11,4,1.47,1,4.01,10,6.17,2508,27.16,524,5.67,35,0.38,2,1111,122,353,397,489,35,0,4,0,1904,115,10,15,7,4,2037,37,15,7,6,4,963,121,44,31,14,8,1195,59,29,25,14,5,5,,15.2,10.2
9/3/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,28,17,0.59,8,0.28,1,7,0,8,7,0,,1,4.01,4,2.84,283,9.83,0,0,0,0,0,253,11,19,0,0,0,0,0,0,644,21,3,2,2,0,667,11,3,1,0,0,116,14,4,2,2,0,132,9,3,2,0,0,1,,12.2,10.8
9/3/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,28,14,0.49,7,0.24,2,4,1,7,3,4,1.47,0,,6,4.92,540,18.82,3,0.11,0,0,0,415,75,45,2,3,0,0,1,0,576,50,5,2,0,1,622,15,8,0,0,1,209,39,5,2,1,1,262,15,3,1,1,1,4,,15.2,10.6
